marker	CHROM	POS	log10p	trait	BF	aboveBF	strain	value	allele	var.exp	startPOS	peakPOS	endPOS	peak_id	interval_size	h2
I_6689	I	6689	0.9604343154821979	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_9328	I	9328	0.06604216606556779	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_13117	I	13117	0.30294608769590375	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_15024	I	15024	1.4860389629791113	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_17509	I	17509	0.007099124628324781	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_61160	I	61160	1.1325347505963443	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_62576	I	62576	3.393436502737344	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_69800	I	69800	0.06604216606556779	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_76311	I	76311	1.2897655059595364e-4	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_81189	I	81189	1.3020014788037189	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_88323	I	88323	0.30294608769590375	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_108438	I	108438	1.1090340133133247	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_116338	I	116338	0.6523805851880482	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_116374	I	116374	1.166741712932023	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
I_121505	I	121505	0.05366647890903396	ben1regressed	5.618006234985528	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
