marker	chr	pos	trait	lod	threshold	iteration	var_exp	eff_size	ci_l_marker	ci_l_pos	ci_r_marker	ci_r_pos
I_398834	I	398834	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_406997	I	406997	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_409309	I	409309	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_541502	I	541502	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_544701	I	544701	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_569087	I	569087	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_590394	I	590394	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_602634	I	602634	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_614509	I	614509	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_627305	I	627305	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_628622	I	628622	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_630968	I	630968	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_652712	I	652712	thiabendazole.625.mean.TOF	0.009403759454157742	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_721214	I	721214	thiabendazole.625.mean.TOF	0.010414822926156126	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_721783	I	721783	thiabendazole.625.mean.TOF	0.010414822926156126	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_727020	I	727020	thiabendazole.625.mean.TOF	0.010414822926156126	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_763259	I	763259	thiabendazole.625.mean.TOF	0.009000140468451935	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_764322	I	764322	thiabendazole.625.mean.TOF	0.009000140468451935	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_776110	I	776110	thiabendazole.625.mean.TOF	0.009000140468451935	3.173026594603205	1	NA	NA	NA	NA	NA	NA
I_781125	I	781125	thiabendazole.625.mean.TOF	0.009000140468451935	3.173026594603205	1	NA	NA	NA	NA	NA	NA
