"","well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","drug","assay_type","food_conc_OD","food_type","plate","row","col","bleach","strain","well_censor","well_censor_reason","notes","concentration_um","diluent","class","i.dir","w.lab","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","assay_bleach","median_wormlength_um_reg","assay_bleach_coeff","assay_bleach_se","assay_bleach_tvalue","assay_bleach_pvalue","control_median_wormlength_um_reg","median_wormlength_um_reg_delta"
"1","cypJB_p001_A01","cypJB_1_N2_Thiabendazole","cypJB","p001","A01",20230721,"p001_A01","m2x","20230721-cypJB-p001-m2x_A01.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",1,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",706.777374861422,629.419401326764,648.882425828439,673.313878766995,691.357729386938,49.8889641381498,743.947242227157,779.888036571356,796.387678975823,0.0705865324960799,26,"cypJB_1",-3.45835777200879,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-166.838244992171
"2","cypJB_p001_A02","cypJB_1_N2_Thiabendazole","cypJB","p001","A02",20230721,"p001_A02","m2x","20230721-cypJB-p001-m2x_A02.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",2,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",714.666005284094,545.406510934217,571.871624045901,678.408687802469,727.431537024237,89.2385729230303,789.526742883003,795.411629311021,812.334366463947,0.124867521699953,15,"cypJB_1",32.6154498652922,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-130.76443735487
"3","cypJB_p001_A03","cypJB_1_N2_Thiabendazole","cypJB","p001","A03",20230721,"p001_A03","m2x","20230721-cypJB-p001-m2x_A03.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",3,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",723.930312625725,654.961512623297,669.266531781743,692.228215976639,724.169373724556,44.8111136604681,750.047685654586,775.803454012494,820.765324892064,0.0618997614534697,21,"cypJB_1",29.3532865656025,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-134.02660065456
"4","cypJB_p001_A04","cypJB_1_N2_Thiabendazole","cypJB","p001","A04",20230721,"p001_A04","m2x","20230721-cypJB-p001-m2x_A04.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",4,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",760.354852315994,688.640901880381,716.21206573111,736.407869516792,760.240437144431,36.7296916643378,783.424115695599,803.747748509038,831.908534243971,0.0483059870696708,17,"cypJB_1",65.4243499854815,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-97.955537234681
"5","cypJB_p001_A05","cypJB_1_N2_Thiabendazole","cypJB","p001","A05",20230721,"p001_A05","m2x","20230721-cypJB-p001-m2x_A05.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",5,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",734.192135563391,640.145044293619,647.369753039687,689.736057403155,743.709609032933,57.9956004626385,780.670333699876,792.890212342103,812.311848460421,0.0789924021974642,16,"cypJB_1",48.8935218739833,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-114.486365346179
"6","cypJB_p001_A06","cypJB_1_N2_Thiabendazole","cypJB","p001","A06",20230721,"p001_A06","m2x","20230721-cypJB-p001-m2x_A06.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",6,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",731.705568201098,616.978687511545,666.41733051019,696.503957251839,733.225130211322,58.1272065707796,787.278248985431,800.337492981641,805.435314974103,0.0794407055199616,14,"cypJB_1",38.4090430523728,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-124.97084416779
"7","cypJB_p001_A07","cypJB_1_N2_Thiabendazole","cypJB","p001","A07",20230721,"p001_A07","m2x","20230721-cypJB-p001-m2x_A07.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",7,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",705.758603981247,635.376592301157,679.644579521625,684.633210810337,715.216966554254,29.0410773741284,724.863031014146,736.485048788976,750.627691566926,0.0411487401078855,18,"cypJB_1",20.4008793953043,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-142.979007824858
"8","cypJB_p001_A08","cypJB_1_N2_Thiabendazole","cypJB","p001","A08",20230721,"p001_A08","m2x","20230721-cypJB-p001-m2x_A08.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",8,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",752.304595027099,668.816022775594,694.973442533209,720.558927465688,742.620938922162,48.9230590409145,790.291647596423,807.914950906205,851.687369516792,0.065030918811751,23,"cypJB_1",47.8048517632128,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-115.57503545695
"9","cypJB_p001_A09","cypJB_1_N2_Thiabendazole","cypJB","p001","A09",20230721,"p001_A09","m2x","20230721-cypJB-p001-m2x_A09.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",9,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",719.652457766268,545.002074888248,627.286400403045,691.543326701208,721.715020456981,70.5707090559472,785.101255741513,792.72549570401,807.208219149676,0.0980622080760925,23,"cypJB_1",26.8989332980321,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-136.48095392213
"10","cypJB_p001_A10","cypJB_1_N2_Thiabendazole","cypJB","p001","A10",20230721,"p001_A10","m2x","20230721-cypJB-p001-m2x_A10.TIF","Thiabendazole","48h",10,"15hHB101",1,"A",10,1,"N2",NA,NA,NA,32.5,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Thiabendazole_N2",763.816100628491,698.225246723654,729.534726011463,744.837757106376,764.27896385441,31.2819491726831,787.410270096445,805.551774694071,810.37068330378,0.0409548177197933,18,"cypJB_1",69.4628766954603,694.816087158949,7.18134632469907,96.7529006043397,0,163.379887220163,-93.9170105247022
