chrom	start	end	sample	gt	gt_name	supporting_sites	sites	DP	switches	nil_type
V	1	526867	ECA239	2	CB4856	46	54	1.26086956522	15	N2
V	526868	529824	ECA239	1	N2	22	22	1.22727272727	0	N2
V	529825	702877	ECA239	2	CB4856	141	164	1.17021276596	18	N2
V	702878	710925	ECA239	1	N2	15	15	1	0	N2
V	710926	2269142	ECA239	2	CB4856	231	288	1.05627705628	68	N2
V	2269143	2288550	ECA239	1	N2	28	39	1.14285714286	4	N2
V	2288551	2717590	ECA239	2	CB4856	108	134	1.18518518519	27	N2
V	2717591	2722706	ECA239	1	N2	22	23	1.40909090909	1	N2
V	2722707	2812930	ECA239	2	CB4856	34	41	1.08823529412	8	N2
V	2812931	2814891	ECA239	1	N2	17	17	1.35294117647	0	N2
V	2814892	3087327	ECA239	2	CB4856	46	65	1.76086956522	20	N2
V	3087328	3093137	ECA239	1	N2	18	19	1.27777777778	1	N2
V	3093138	3257760	ECA239	2	CB4856	29	33	1.1724137931	7	N2
V	3257761	3423725	ECA239	1	N2	59	78	1.06779661017	14	N2
V	3423726	3427101	ECA239	2	CB4856	48	48	1.125	0	N2
V	3427102	3430149	ECA239	1	N2	20	20	1.25	0	N2
V	3430150	3912707	ECA239	2	CB4856	171	208	1.22807017544	40	N2
V	3912708	3917103	ECA239	1	N2	24	24	1.83333333333	0	N2
V	3917104	13613311	ECA239	2	CB4856	1184	1395	1.33699324324	244	N2
V	13613312	15917131	ECA239	1	N2	491	504	1.18533604888	22	N2
V	15917132	15918149	ECA239	2	CB4856	21	22	1.47619047619	2	N2
V	15918150	15931724	ECA239	1	N2	49	49	1	0	N2
V	15931725	15934832	ECA239	2	CB4856	12	12	1	0	N2
V	15934833	18067619	ECA239	1	N2	1336	1377	1.26871257485	38	N2
V	18067620	18221831	ECA239	2	CB4856	44	61	1.15909090909	12	N2
V	18221832	18242535	ECA239	1	N2	19	20	1	2	N2
V	18242536	20214842	ECA239	2	CB4856	484	684	1.65702479339	148	N2
V	20214843	20231151	ECA239	1	N2	20	20	14.55	0	N2
V	20231152	20924180	ECA239	2	CB4856	278	297	1.20143884892	30	N2
V	1	3953362	ECA238	1	N2	2242	2305	1.35147190009	82	CB
V	3953363	3955361	ECA238	2	CB4856	17	17	2	0	CB
V	3955362	7340811	ECA238	1	N2	595	607	1.15630252101	18	CB
V	7340812	7340947	ECA238	2	CB4856	13	13	1.07692307692	0	CB
V	7340948	7665858	ECA238	1	N2	715	722	1.64055944056	8	CB
V	7665859	7666385	ECA238	2	CB4856	15	15	3.86666666667	0	CB
V	7666386	11512815	ECA238	1	N2	276	288	1.21376811594	22	CB
V	11512816	11517756	ECA238	2	CB4856	14	14	1.14285714286	0	CB
V	11517757	14816520	ECA238	1	N2	291	308	1.19931271478	28	CB
V	14816521	15691932	ECA238	2	CB4856	131	155	1.06106870229	36	CB
V	15691933	15697266	ECA238	1	N2	21	21	1	0	CB
V	15697267	15915544	ECA238	2	CB4856	200	229	1.195	24	CB
V	15915545	15916634	ECA238	1	N2	14	14	1	0	CB
V	15916635	15930561	ECA238	2	CB4856	110	118	1.21818181818	14	CB
V	15930562	15937474	ECA238	1	N2	23	27	1.30434782609	6	CB
V	15937475	17245582	ECA238	2	CB4856	882	1047	1.23129251701	138	CB
V	17245583	17253612	ECA238	1	N2	27	27	1.07407407407	0	CB
V	17253613	17801248	ECA238	2	CB4856	312	377	1.17628205128	44	CB
V	17801249	17835646	ECA238	1	N2	26	27	1.15384615385	1	CB
V	17835647	17845153	ECA238	2	CB4856	44	55	1.02272727273	3	CB
V	17845154	18220463	ECA238	1	N2	130	140	1.31538461538	18	CB
V	18220464	18230782	ECA238	2	CB4856	13	14	1	2	CB
V	18230783	20924180	ECA238	1	N2	1448	1605	1.53660220994	136	CB
V	1	20924180	N2	1	N2	61705	61705	113.016044081	0	CB
V	1	20924180	CB4856	2	CB4856	61705	61705	74.6836561057	0	N2
V	1	20924180	N2	1	N2	61705	61705	113.01604408070659	0	CB
V	1	20924180	CB4856	2	CB4856	61705	61705	74.68365610566404	0	N2
V	1	20924180	N2	1	N2	66609	66609	6.11324295516	0	CB
V	1	20924180	CB4856	2	CB4856	66609	66609	70.8196039574	0	N2
V	1	20924180	N2	1	N2	61705	61705	113.016044081	0	CB
V	1	20924180	CB4856	2	CB4856	61705	61705	74.6836561057	0	N2
V	1	20924180	N2	1	N2	61705	61705	113.01604408070659	0	CB
V	1	20924180	CB4856	2	CB4856	61705	61705	74.68365610566404	0	N2
V	1	20924180	N2	1	N2	66609	66609	6.11324295515621	0	CB
V	1	20924180	CB4856	2	CB4856	66609	66609	70.81960395742317	0	N2
V	1	20924180	N2	1	N2	61705	61705	113.016044081	0	CB
V	1	20924180	CB4856	2	CB4856	61705	61705	74.6836561057	0	N2
V	1	21000000	CB4856	2	CB4856	2000	2000	1.3	2	N2
V	1	21000000	N2	1	N2	2000	2000	1.3	2	CB
