,chrom,start,end,pi,theta,td
0,V,1,10000,0.002011398385837544,0.005964449539444332,-1.9237270318792012
1,V,1001,11000,0.0022023672518347334,0.006480222337755482,-1.918108263787806
2,V,2001,12000,0.0021021355101136247,0.006308298071651766,-1.9367212553834072
3,V,3001,13000,0.002070231333106471,0.006228948410373127,-1.938960475641909
4,V,4001,14000,0.0020799701861233216,0.0064669973942090425,-1.9710326208871374
5,V,5001,15000,0.002423551384975358,0.007022445023159513,-1.9046253520911334
6,V,6001,16000,0.0025594077868772444,0.007300168837634747,-1.8894929453406193
7,V,7001,17000,0.002737157417468971,0.00767046725693506,-1.8722913195451825
8,V,8001,18000,0.003014429372974154,0.00827881466007129,-1.8525299773939792
9,V,9001,19000,0.0030316352040354482,0.008186240055246211,-1.8342127795318655
10,V,10001,20000,0.003028689104545193,0.007749816918213699,-1.7736052413527088
11,V,11001,21000,0.002850606175495679,0.007392743442459826,-1.7879012363765794
12,V,12001,22000,0.002975150554775392,0.007789491748853019,-1.7995045297547878
13,V,13001,23000,0.002964121901241931,0.007921741184317417,-1.822431784550014
14,V,14001,24000,0.0030465931924134443,0.007974640958503176,-1.7996633590374767
15,V,15001,25000,0.002916993764643295,0.007815941635945898,-1.8249947498881562
16,V,16001,26000,0.0028686281942291066,0.007908516240770975,-1.8557411172402873
17,V,17001,27000,0.002814315117023395,0.00777626680530658,-1.857800548490793
18,V,18001,28000,0.002784098277488382,0.007815941635945898,-1.8745020262897434
19,V,19001,29000,0.0029194329597380716,0.008146565224606894,-1.8689915120742644
20,V,20001,30000,0.003090541426689139,0.008992961611579036,-1.9135637168171138
21,V,21001,31000,0.0030676208971040252,0.009059086329311237,-1.9283778492955774
22,V,22001,32000,0.003084176822984595,0.008821037345475319,-1.8958135086529098
23,V,23001,33000,0.0029794335460256493,0.008463963869721447,-1.8881747186639573
24,V,24001,34000,0.002985708670785028,0.008741687684196682,-1.9192409680535487
25,V,25001,35000,0.002806972569655901,0.008582988361639404,-1.9612037143951249
26,V,26001,36000,0.002736832335668037,0.008411064095535686,-1.9656542349149861
27,V,27001,37000,0.0026937015372600023,0.008173015111699771,-1.9528814336644298
28,V,28001,38000,0.0026405392433103097,0.008397839151989248,-1.9975417506606565
29,V,29001,39000,0.002705899343810577,0.008463963869721447,-1.9823451097147589
30,V,30001,40000,0.002784127097684756,0.008358164321349929,-1.9430505499452908
31,V,31001,41000,0.003189479583599342,0.00888716206320752,-1.8689821004527956
32,V,32001,42000,0.0032786326056490353,0.009191335764775634,-1.8758822970615543
